RequestTag,Length,Start,Time
0,0,73611922.739,0
3611331,3120,73611922.922,0.02
60415640,17,73611922.973,0.002
28582309,3120,73611922.995,0.002
14979432,22130,73611923.013,0.007
1466429,353,73611923.16,0.005
22474972,353,73611923.184,0.003
31271055,353,73611923.204,0.003
98314013,35,73611923.22,0.013
47007644,276,73611923.254,0.003
5349551,39,73611923.269,0.003
19960416,81,73611923.284,0.011
33384162,41,73611923.308,0.004
5333916,81,73611923.324,0.004
88542275,326,73611923.341,0.001
94920336,320,73611923.354,0.005
94374131,325,73611923.37,0.002
7290650,39,73611923.416,0.002
71676290,14474,73611923.431,0.01
43436989,31864,73611923.464,0.061
11318926,19139,73611923.551,0.013
73940103,55619,73611923.586,0.054
15045439,88,73611923.699,0.002
6085980,88,73611923.713,0.021
61217235,731,73611923.746,0.002
71690015,367,73611923.76,0.002
88501345,561,73611923.773,0.003
60597675,41,73611923.788,0.003
46931810,386,73611923.802,0.001
14655556,66,73611923.847,0.003
81572798,1151,73611923.866,0.004
86553127,81,73611923.882,0.007
29669556,998,73611923.904,0.002
46646375,81,73611923.917,0.006
71113601,47,73611923.935,0.001
79751594,47,73611923.947,0.003
27081101,47,73611923.96,0.002
21371792,261,73611923.98,0
44590248,39,73611923.992,0.003
66995332,72,73611924.005,0
61880593,72,73611924.035,0.001
96988845,75,73611924.046,0.001
2430219,189,73611924.058,0.003
18213545,60,73611924.073,0.003
83920475,185,73611924.089,0.002
945460,180,73611924.102,0.005
33802583,185,73611924.161,0.002
97983001,39,73611924.177,0.002
90265872,47,73611924.19,0.001
13909176,36,73611924.202,0.052
17348249,81,73611924.267,0.006
39512180,216,73611924.286,0.002
36663862,39,73611924.301,0.021
16090126,47,73611924.334,0.003
